Domain,I+,I-,I0,IPH+,IPH-,IPH0,V+,V-,V0,VPH+,VPH-,VPH0,VA,VB,VC,IA,IB,IC,Type
0.55,0.804395799,0.804395799,0.804395799,-2.544733761,-2.544733761,-2.544733761,74.44604938,74.44604938,74.44604938,-1.597206461,-1.597206461,-1.597206461,1,1,1,0,0,0,0
0.55025,0.804394474,0.804394474,0.804394474,-2.544733723,-2.544733723,-2.544733723,74.44610056,74.44610056,74.44610056,-1.597207465,-1.597207465,-1.597207465,1,1,1,0,0,0,0
0.5505,0.804394474,0.804394474,0.804394474,-2.544733723,-2.544733723,-2.544733723,74.44610056,74.44610056,74.44610056,-1.597207465,-1.597207465,-1.597207465,1,1,1,0,0,0,0
0.55075,0.804394474,0.804394474,0.804394474,-2.544733723,-2.544733723,-2.544733723,74.44610056,74.44610056,74.44610056,-1.597207465,-1.597207465,-1.597207465,1,1,1,0,0,0,0
0.551,0.804394474,0.804394474,0.804394474,-2.544733723,-2.544733723,-2.544733723,74.44610056,74.44610056,74.44610056,-1.597207465,-1.597207465,-1.597207465,1,1,1,0,0,0,0
0.55125,0.804391492,0.804391492,0.804391492,-2.544732087,-2.544732087,-2.544732087,74.44609986,74.44609986,74.44609986,-1.597207421,-1.597207421,-1.597207421,1,1,1,0,0,0,0
0.5515,0.804391492,0.804391492,0.804391492,-2.544732087,-2.544732087,-2.544732087,74.44609986,74.44609986,74.44609986,-1.597207421,-1.597207421,-1.597207421,1,1,1,0,0,0,0
0.55175,0.804391492,0.804391492,0.804391492,-2.544732087,-2.544732087,-2.544732087,74.44609986,74.44609986,74.44609986,-1.597207421,-1.597207421,-1.597207421,1,1,1,0,0,0,0
0.552,0.804391492,0.804391492,0.804391492,-2.544732087,-2.544732087,-2.544732087,74.44609986,74.44609986,74.44609986,-1.597207421,-1.597207421,-1.597207421,1,1,1,0,0,0,0
0.55225,0.804389783,0.804389783,0.804389783,-2.544729863,-2.544729863,-2.544729863,74.44610138,74.44610138,74.44610138,-1.597207312,-1.597207312,-1.597207312,1,1,1,0,0,0,0
0.5525,0.804389783,0.804389783,0.804389783,-2.544729863,-2.544729863,-2.544729863,74.44610138,74.44610138,74.44610138,-1.597207312,-1.597207312,-1.597207312,1,1,1,0,0,0,0
0.55275,0.804389783,0.804389783,0.804389783,-2.544729863,-2.544729863,-2.544729863,74.44610138,74.44610138,74.44610138,-1.597207312,-1.597207312,-1.597207312,1,1,1,0,0,0,0
0.553,0.804389783,0.804389783,0.804389783,-2.544729863,-2.544729863,-2.544729863,74.44610138,74.44610138,74.44610138,-1.597207312,-1.597207312,-1.597207312,1,1,1,0,0,0,0
